Type,Title,Organization,Status,Availability or Year,Geography,Community,Community Type,Best For,Project Stage,Topics,Summary,Why It May Help,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Community Example,"Duluth, Minnesota Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2019,Minnesota,Duluth,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Commercial Kitchen; Community Garden; Healthy Food Access; Brownfields Reuse; Entrepreneurship,"In 2019, Duluth, Minnesota used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2019-04/documents/lflp5_summary_report.pdf,2026-07-18,RERC-CASE-LFLP-DULUTH-MN-2019-EPA-SUMMARY-REPORT
Community Example,"Little Falls, Minnesota Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2019,Minnesota,Little Falls,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Economic Development,"In 2019, Little Falls, Minnesota used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2019-04/documents/lflp5_summary_report.pdf,2026-07-18,RERC-CASE-LFLP-LITTLE-FALLS-MN-2019-EPA-SUMMARY-REPORT
Community Example,Rural Minnesota Town Breaks Ground on Long-Awaited Wastewater Treatment Facility,USDA Rural Development Success Stories,Published case study,2022,Minnesota,Mazeppa,town_or_city,Communities looking for comparable examples,Implementation,Wastewater; water infrastructure; sanitation; public health; rate affordability; city park relocation,"Mazeppa, Minnesota broke ground on a new wastewater treatment facility with more than $12 million in USDA Rural Development funding. The project replaces an outdated plant that has served the community since the 1950s and had become a public health, sanitation, technology, cost, and aesthetics problem.",,,,https://www.rd.usda.gov/newsroom/success-stories/rural-minnesota-town-breaks-ground-long-awaited-wastewater-treatment-facility,2026-07-18,RERC-CASE-USDA-RD-SUCCESS-STORIES-RURAL-MINNESOTA-TOWN-BREAKS-GROUND-ON-LONG-AWAITED-WASTEWATER-TREATMENT-FACILITY-MN-2024
Community Example,Climate Change Adaptation Planning at the State Level in Minnesota,U.S. Climate Resilience Toolkit,Published case study,2009,Minnesota,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,"Climate Resilience; Air Quality; Drought; Flooding - General; Shifting Species, Habitats, and Ecosystems; Wildfire; Natural Areas and Wildlife; People",The Minnesota Interagency Climate Adaptation Team (ICAT) and the state Climate Change Adaptation Working Group (CCAWG) are complementary initiatives designed to address and develop responses to the effects of climate change.,,,,https://toolkit.climate.gov/case-study/climate-change-adaptation-planning-state-level-minnesota,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-CLIMATE-CHANGE-ADAPTATION-PLANNING-AT-THE-STATE-LEVEL-IN-MINNESOTA-MN-2009
Community Example,"Pelican Rapids, Minnesota Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2020,Minnesota,Pelican Rapids,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market,"In 2020, Pelican Rapids, Minnesota used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2020-05/documents/2020_lflp6_summary_report.pdf,2026-07-18,RERC-CASE-LFLP-PELICAN-RAPIDS-MN-2020-EPA-SUMMARY-REPORT
Community Example,"Saint Paul, Minnesota Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2019,Minnesota,Saint Paul,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Healthy Food Access; Entrepreneurship; Economic Development,"In 2019, Saint Paul, Minnesota used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2019-04/documents/lflp5_summary_report.pdf,2026-07-18,RERC-CASE-LFLP-SAINT-PAUL-MN-2019-EPA-SUMMARY-REPORT
Community Example,"St Paul, MN Climate Action & Resilience Plan",U.S. Climate Resilience Toolkit,Published case study,2024,Minnesota,St Paul,town_or_city,Communities looking for comparable examples,Planning,Climate Resilience; Air Quality; Extreme Heat; Flooding - Rainfall-induced; Critical Facilities; Energy and Utilities; People; Property,"For a community to improve its resilience, it must know what its vulnerabilities are. Climate change has the potential to have major impacts on people, the economy, and infrastructure — both built and natural.",,,,https://toolkit.climate.gov/action-plan/st-paul-mn-climate-action-resilience-plan,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-ST-PAUL-MN-CLIMATE-ACTION-AND-RESILIENCE-PLAN-MN-2024
Community Example,"Clarksdale, Mississippi Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2015,Mississippi,Clarksdale,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Food Education; Community Garden,"In 2015, Clarksdale, Mississippi used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2016-01/documents/lflp_summary_report_jun2015.pdf,2026-07-18,RERC-CASE-LFLP-CLARKSDALE-MS-2015-EPA-SUMMARY-REPORT
Community Example,"Duck Hill, Mississippi Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2018,Mississippi,Duck Hill,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Food Education; Community Garden; Economic Development,"In 2018, Duck Hill, Mississippi used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2018-05/documents/2018_summary_report_05-21-18-508.pdf,2026-07-18,RERC-CASE-LFLP-DUCK-HILL-MS-2018-EPA-SUMMARY-REPORT
Community Example,"Itta Bena, Mississippi Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2015,Mississippi,Itta Bena,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Action Planning,"In 2015, Itta Bena, Mississippi used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2016-01/documents/lflp_summary_report_jun2015.pdf,2026-07-18,RERC-CASE-LFLP-ITTA-BENA-MS-2015-EPA-SUMMARY-REPORT
Community Example,"Noxubee County, Mississippi (2025)",Recreation Economy for Rural Communities,Planning assistance example,2025,Mississippi,Noxubee County,county_or_region,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; natural resource stewardship,"In 2025, Noxubee County, Mississippi received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, natural resource stewardship. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-NOXUBEE-COUNTY-MS-2025
Community Example,"Shubuta, MS: Strengthening Shubuta",EPA Brownfields Success Stories,Published case study,2016,Mississippi,Shubuta,town_or_city,Communities looking for comparable examples,Cleanup,"Brownfields; Land Revitalization; $400,000 Brownfields Assessment Coalition Grant","This EPA success story describes how Shubuta, Mississippi addressed shubuta, ms: strengthening shubuta and related land-reuse work. The official page provides the cleanup, partners, and results.",,,,https://www.epa.gov/brownfields/shubuta-ms-strengthening-shubuta,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-SHUBUTA-MS-STRENGTHENING-SHUBUTA-MS-2016
Community Example,"Vicksburg, Mississippi Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2020,Mississippi,Vicksburg,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Food Hub; Food Education; Community Garden; Economic Development,"In 2020, Vicksburg, Mississippi used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2020-05/documents/2020_lflp6_summary_report.pdf,2026-07-18,RERC-CASE-LFLP-VICKSBURG-MS-2020-EPA-SUMMARY-REPORT
Community Example,"Appleton City, Missouri Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2017,Missouri,Appleton City,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Brownfields Reuse; Entrepreneurship,"In 2017, Appleton City, Missouri used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_partners_report_2017.pdf,2026-07-18,RERC-CASE-LFLP-APPLETON-CITY-MO-2017-EPA-SUMMARY-REPORT
Community Example,"Expanded Healthcare Will Increase Access to Care and Create Jobs in Bethany, Missouri",USDA Rural Development Success Stories,Published case study,2022,Missouri,Bethany and Harrison County,county_or_region,Communities looking for comparable examples,Implementation,Community Facilities; Health Care; rural hospital; access to care; job creation; outpatient specialty clinics,"Harrison County Community Hospital in Bethany, Missouri is using USDA Rural Development Community Facilities Direct Loans to expand and modernize rural healthcare access for Harrison County and five surrounding counties. USDA documents $57.5 million in obligations across 2022 and 2024.",,,,https://www.rd.usda.gov/newsroom/success-stories/expanded-healthcare-will-increase-access-care-and-create-jobs-bethany-missouri,2026-07-18,RERC-CASE-USDA-RD-SUCCESS-STORIES-EXPANDED-HEALTHCARE-WILL-INCREASE-ACCESS-TO-CARE-AND-CREATE-JOBS-IN-BETHANY-MISSOURI-MO
Community Example,Carter County's New Equipment to Tackle Winter Roads,USDA Rural Development Success Stories,Published case study,2023,Missouri,Carter County,county_or_region,Communities looking for comparable examples,Implementation,Community Facilities; road equipment; winter readiness; county government; snowplows; rural transportation,"Carter County, Missouri used USDA Rural Development Community Facilities support to acquire road equipment needed for winter readiness in a small Ozarks county with steep, winding roads. The county has roughly 5,202 residents and identified trucks, snowplows, salt spreaders, and a hydraulic hammer as priority equipment for keeping roads safe during winter weather.",,,,https://www.rd.usda.gov/newsroom/success-stories/carter-countys-new-equipment-tackle-winter-roads,2026-07-18,RERC-CASE-USDA-RD-SUCCESS-STORIES-CARTER-COUNTY-S-NEW-EQUIPMENT-TO-TACKLE-WINTER-ROADS-MO-2024
Community Example,"Gainesville, Missouri Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2016,Missouri,Gainesville,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Action Planning; Economic Development,"In 2016, Gainesville, Missouri used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_summary_report_update_2016-17.pdf,2026-07-18,RERC-CASE-LFLP-GAINESVILLE-MO-2016-EPA-SUMMARY-REPORT
Community Example,"Jefferson City, Missouri Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2015,Missouri,Jefferson City,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Entrepreneurship; Action Planning,"In 2015, Jefferson City, Missouri used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2016-01/documents/lflp_summary_report_jun2015.pdf,2026-07-18,RERC-CASE-LFLP-JEFFERSON-CITY-MO-2015-EPA-SUMMARY-REPORT
Community Example,"Kansas City, Missouri Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2020,Missouri,Kansas City,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Food Hub; Community Garden; Brownfields Reuse,"In 2020, Kansas City, Missouri used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2020-05/documents/2020_lflp6_summary_report.pdf,2026-07-18,RERC-CASE-LFLP-KANSAS-CITY-MO-2020-EPA-SUMMARY-REPORT
Community Example,Camera Trap Monitoring to Document Pollinator Use of Restored Private Lands,U.S. Climate Resilience Toolkit,Published case study,2024,Missouri,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,"Climate Resilience; Shifting Species, Habitats, and Ecosystems; Natural Areas and Wildlife","Fish and Wildlife Service's Partners for Fish and Wildlife (PFW) Missouri Private Lands Office (MOPLO) has made a focused effort to restore habitats that benefit monarch butterflies as they migrate through Missouri during spring and fall. Although not specializing in research, the MOPLO explored camera traps as a remote monitoring tool for presence/absence of monarch butterflies.",,,,https://toolkit.climate.gov/case-study/camera-trap-monitoring-document-pollinator-use-restored-private-lands,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-CAMERA-TRAP-MONITORING-TO-DOCUMENT-POLLINATOR-USE-OF-RESTORED-PRIVATE-LANDS-MO-2024
Community Example,"Ralls County Electric's Vision for a Stronger, Smarter Grid",USDA Rural Development Success Stories,Published case study,2025,Missouri,Ralls County service area,county_or_region,Communities looking for comparable examples,Implementation,Electric Infrastructure Loan; CORE; smart grid; rural electric cooperative; distribution lines; fiber infrastructure; grid resilience,"Ralls County Electric Cooperative is using federal Rural Utilities Service financing to modernize rural electric service across parts of five counties in northeast Missouri. USDA documents $28.67 million in financing to support new consumer connections, distribution-line construction, upgrades to existing lines, advanced smart grid equipment, and fiber infrastructure.",,,,https://www.rd.usda.gov/newsroom/success-stories/ralls-county-electrics-vision-stronger-smarter-grid,2026-07-18,RERC-CASE-USDA-RD-SUCCESS-STORIES-RALLS-COUNTY-ELECTRIC-S-VISION-FOR-A-STRONGER-SMARTER-GRID-MO-2025
Community Example,"Smart Growth Publications: Old North St. Louis - St. Louis, Missouri",EPA Examples of Smart Growth Communities and Projects,Published case study,,Missouri,St. Louis,town_or_city,Communities looking for comparable examples,Implementation,smart growth; publication example; implementation model; downtown revitalization; revitalization,"Louis: Sustainably Developing a Historic District (pdf) (8.29 MB, 2016) Old North St. Louis, Missouri, is located less than 1 mile north of downtown.",,,,https://www.epa.gov/smartgrowth/old-north-st-louis-sustainably-developing-historic-district,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-PUBLICATION-OLD-NORTH-ST-LOUIS-ST-LOUIS-MO
Community Example,"Butte, Montana (2022)",Recreation Economy for Rural Communities,Planning assistance example,2022,Montana,Butte,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; trails and active transportation; public health,"In 2022, Butte, Montana received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, trails and active transportation. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-BUTTE-MT-2022
Community Example,Beaver Conflict Resolution,U.S. Climate Resilience Toolkit,Published case study,2024,Montana,Clark Fork River,town_or_city,Communities looking for comparable examples,Implementation,"Climate Resilience; Drought; Shifting Species, Habitats, and Ecosystems; Aquatic and Marine Resources; Natural Areas and Wildlife; People; Water Infrastructure - General","Beaver-modified habitats play an important role in managing droughts and flooding, which are predicted to become more severe with climate change. Encouraging more beaver-dammed areas will increase water storage on the landscape, improve water quality by increasing water depth and reducing stream temperatures, and increase nutrient availability in the water.",,,,https://toolkit.climate.gov/case-study/beaver-conflict-resolution,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-BEAVER-CONFLICT-RESOLUTION-MT-2024
Community Example,"Great Falls, MT: Taking Back Downtown One Brownfield at a Time",EPA Brownfields Success Stories,Published case study,2015,Montana,Great Falls,town_or_city,Communities looking for comparable examples,Cleanup,"Brownfields; Land Revitalization; Coffee shop, hotel/pub, nonprofit offices; Gas station, livery stables, bank","Lillian Sunwall, a project manager Assessment and Revolving and business strategist with GFDA, describes the city’s downtown as Loan Fund a “diverse and exciting place” in the mid-1900s. Current Uses: Coffee shop, hotel/pub, “One of the big projects our organization is doing is to revitalize Great nonprofit offices Falls by encouraging investment downtown,” Sunwall says.",,,,https://www.epa.gov/brownfields/great-falls-mt-taking-back-downtown-one-brownfield-time,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-GREAT-FALLS-MT-TAKING-BACK-DOWNTOWN-ONE-BROWNFIELD-AT-A-TIME-MT-2015
Community Example,"Poplar, MT: Making Things Right at a Former Airfield",EPA Brownfields Success Stories,Published case study,2019,Montana,Sioux Tribes,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization,"Upon the airfield’s closure in 2011, contamination Current Uses: remained and prevented the reuse of the site. Petroleum had leaked Residential, Recreational, into the subsurface from underground storage tanks and from runoff Transportation Operations associated with jet-fueling activities.",,,,https://www.epa.gov/brownfields/poplar-mt-making-things-right-former-airfield,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-POPLAR-MT-MAKING-THINGS-RIGHT-AT-A-FORMER-AIRFIELD-MT-2019
Community Example,"Lincoln, NE: A Heyday in West Haymarket",EPA Brownfields Success Stories,Published case study,2017,Nebraska,Lincoln,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; EPA Targeted Brownfields,"Brownfields Success Story A Heyday in West Haymarket Lincoln, Nebraska Along the western edge of downtown Lincoln, Nebraska lies the Haymarket District. Since then, the West Haymarket redevelopment project has EPA Targeted Brownfields transformed dozens of acres of underutilized property into a civic arena, hotels, community space, retail and office space and residential units.",,,,https://www.epa.gov/brownfields/lincoln-ne-heyday-west-haymarket,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-LINCOLN-NE-A-HEYDAY-IN-WEST-HAYMARKET-NE-2017
Community Example,CR4HC Case Study: University of Nebraska,U.S. Climate Resilience Toolkit,Published case study,2024,Nebraska,Omaha,town_or_city,Communities looking for comparable examples,Implementation,Climate Resilience; Multiple or All Hazards,"Community-Centered Climate Resilience Planning Lessons learned: UNMC/NM employed a multi-stakeholder approach when developing the CVA. The health system recognized that by understanding the needs of the community, UNMC/NM would be better prepared to provide appropriate care while advancing sustainable operations, including decarbonization, in the face of climate hazards.",,,,https://toolkit.climate.gov/case-study/cr4hc-case-study-university-nebraska,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-CR4HC-CASE-STUDY-UNIVERSITY-OF-NEBRASKA-NE-2024
Community Example,"York, Nebraska Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2020,Nebraska,York,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Community Garden,"In 2020, York, Nebraska used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2020-05/documents/2020_lflp6_summary_report.pdf,2026-07-18,RERC-CASE-LFLP-YORK-NE-2020-EPA-SUMMARY-REPORT
Community Example,"Fallon, Nevada Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2015,Nevada,Fallon,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Food Education; Healthy Food Access; Brownfields Reuse; Entrepreneurship,"In 2015, Fallon, Nevada used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2016-01/documents/lflp_summary_report_jun2015.pdf,2026-07-18,RERC-CASE-LFLP-FALLON-NV-2015-EPA-SUMMARY-REPORT
Community Example,"Henderson, Nevada Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2016,Nevada,Henderson,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Action Planning; Economic Development,"In 2016, Henderson, Nevada used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_summary_report_update_2016-17.pdf,2026-07-18,RERC-CASE-LFLP-HENDERSON-NV-2016-EPA-SUMMARY-REPORT
Community Example,"Claremont, New Hampshire (2022)",Recreation Economy for Rural Communities,Planning assistance example,2022,New Hampshire,Claremont,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; trails and active transportation; riverfront and water access; brownfields and land reuse,"In 2022, Claremont, New Hampshire received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, trails and active transportation. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-CLAREMONT-NH-2022
Community Example,"Gorham, New Hampshire (2019)",Recreation Economy for Rural Communities,Planning assistance example,2019,New Hampshire,Gorham,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; riverfront and water access,"In 2019, Gorham, New Hampshire received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, riverfront and water access. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-GORHAM-NH-2019
Community Example,"The Park Theatre, Jaffrey, N.H.",EPA Brownfields Success Stories,Published case study,2021,New Hampshire,Jaffrey,town_or_city,Communities looking for comparable examples,Cleanup,"Brownfields; Land Revitalization; The Park Theatre Performing Art Center; Silent Films & Vaudeville Theatre, Retail Store","R1 Success Story: The Park Theatre, Jaffrey, N.H. The old theatre replaced with a new building in 2020.",,,,https://www.epa.gov/brownfields/r1-success-story-park-theatre-jaffrey-nh,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-THE-PARK-THEATRE-JAFFREY-N-H-NH-2021
Community Example,"Franconia Paper Mill - RiverWalk Resort, Lincoln, N.H.",EPA Brownfields Success Stories,Published case study,2020,New Hampshire,Lincoln,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Luxury Resort; Franconia Paper Mill Current Use: Luxury Resort,"R1 Success Story: Franconia Paper Mill - RiverWalk Resort, Lincoln, N.H. Franconia Paper Mill which opened in the 1960s, was a major economic driver for the Town of Lincoln before it closed in the 1980s.",,,,https://www.epa.gov/brownfields/r1-success-story-franconia-paper-mill-riverwalk-resort-lincoln-nh,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-FRANCONIA-PAPER-MILL-RIVERWALK-RESORT-LINCOLN-N-H-NH-2020
Community Example,"Farnum Center, Manchester, N.H.",EPA Brownfields Success Stories,Published case study,2019,New Hampshire,Manchester,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Farnum Center Recovery Treatment Center,"R1 Success Story: Farnum Center, Manchester, N.H. (pdf) (561.94 KB, April 2019, EPA 560-A-19-003) With more than 100,000 residents, Manchester is the largest city in the State of New Hampshire.",,,,https://www.epa.gov/brownfields/r1-success-story-farnum-center-manchester-nh,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-FARNUM-CENTER-MANCHESTER-N-H-NH-2019
Community Example,"Newport, New Hampshire (2025)",Recreation Economy for Rural Communities,Planning assistance example,2025,New Hampshire,Newport,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; trails and active transportation; biking and walking connectivity; climate resilience,"In 2025, Newport, New Hampshire received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, trails and active transportation. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-NEWPORT-NH-2025
Community Example,"Hilltop School, Somersworth, N.H.",EPA Brownfields Success Stories,Published case study,2021,New Hampshire,Somersworth,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Residential Apartments and Commercial Spaces; Elementary and High School; Assessment,"R1 Success Story: Hilltop School, Somersworth, N.H. (pdf) (1.5 MB, October 2021, EPA 560-F 21-190) A 150‐year‐old three‐story, brick building that for more than a century housed a school has been redeveloped into a building with office and gallery space as well as apartments.",,,,https://www.epa.gov/brownfields/r1-success-story-hilltop-school-somersworth-nh,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-HILLTOP-SCHOOL-SOMERSWORTH-N-H-NH-2021
Community Example,Barnegat Bay Climate Change Adaptation Strategy Development,U.S. Climate Resilience Toolkit,Published case study,2009,New Jersey,Lacey Township,town_or_city,Communities looking for comparable examples,Implementation,"Climate Resilience; Flooding - Coastal; Flooding - General; Flooding - Rainfall-induced; Shifting Species, Habitats, and Ecosystems; Economy",Environmental Protection Agency's Climate Ready Estuaries Program. BBP has used this and other funding to undertake several climate adaptation initiatives led by a stakeholder working group.,,,,https://toolkit.climate.gov/case-study/barnegat-bay-climate-change-adaptation-strategy-development,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-BARNEGAT-BAY-CLIMATE-CHANGE-ADAPTATION-STRATEGY-DEVELOPMENT-NJ-2009
Community Example,"Passaic, New Jersey Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2016,New Jersey,Passaic,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Entrepreneurship; Action Planning; Economic Development,"In 2016, Passaic, New Jersey used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_summary_report_update_2016-17.pdf,2026-07-18,RERC-CASE-LFLP-PASSAIC-NJ-2016-EPA-SUMMARY-REPORT
Community Example,"Woodbridge Township, NJ: Bringing Clean Energy to an Abandoned Waterfront",EPA Brownfields Success Stories,Published case study,2016,New Jersey,Woodbridge Township,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; Woodbridge Waterfront Park; EPA CERCLA 128(a),"Brownfields Success Story Bringing Clean Energy to An aerial shot of the Heyden Newport an Abandoned Waterfront Chemical Corp. manufacturing plant Woodbridge, New Jersey in Woodbridge Township, New Jersey, in 1957.",,,,https://www.epa.gov/brownfields/woodbridge-township-nj-bringing-clean-energy-abandoned-waterfront,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-WOODBRIDGE-TOWNSHIP-NJ-BRINGING-CLEAN-ENERGY-TO-AN-ABANDONED-WATERFRONT-NJ-2016
Community Example,"Albuquerque, New Mexico Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2017,New Mexico,Albuquerque,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Food Hub; Commercial Kitchen; Healthy Food Access; Brownfields Reuse; Entrepreneurship,"In 2017, Albuquerque, New Mexico used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_partners_report_2017.pdf,2026-07-18,RERC-CASE-LFLP-ALBUQUERQUE-NM-2017-EPA-SUMMARY-REPORT
